=== GPU-AWARE EXPERIMENT SCHEDULER ===
[ROOT] /home/tahiti/PromptStressLab
[PYTHON_BIN] /home/tahiti/Forensics/.venv_forensics/bin/python
[ALLOWED_GPUS] [0]
[MAX_PARALLEL_MODELS] 1
[POLL_SECONDS] 30
[MAX_START_UTILIZATION] 20
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=2.0GiB util=85% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2820, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=86% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2819, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=85% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2819, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=2.0GiB util=89% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2818, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=87% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2818, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=84% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2818, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=2.0GiB util=86% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2817, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=85% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2816, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=85% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2816, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=83% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2815, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=88% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2815, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=83% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2815, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=2.0GiB util=89% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2814, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=2.0GiB util=88% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2814, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=88% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2814, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=85% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2813, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=85% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2813, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=2.0GiB util=86% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2812, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=85% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2812, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=85% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2812, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=82% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2811, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=82% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2810, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=2.0GiB util=88% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2810, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=89% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2810, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=85% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2809, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=84% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2809, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=85% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2809, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=84% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2809, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=87% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2809, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=85% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2808, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=84% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2807, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=85% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2807, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.7GiB util=95% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2807, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=86% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2806, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=2.0GiB util=85% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2806, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=86% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2805, qwen3_8b=2842
