model_id,dataset,phase,condition,documents,entity_exact_f1_mean,entity_exact_f1_median,entity_exact_f1_std,entity_exact_f1_p95,entity_partial_f1_mean,entity_partial_f1_median,entity_partial_f1_std,entity_partial_f1_p95,relation_exact_f1_mean,relation_exact_f1_median,relation_exact_f1_std,relation_exact_f1_p95,hallucinated_entity_rate_mean,hallucinated_entity_rate_median,hallucinated_entity_rate_std,hallucinated_entity_rate_p95,prompt_tokens_mean,prompt_tokens_median,prompt_tokens_std,prompt_tokens_p95,output_tokens_mean,output_tokens_median,output_tokens_std,output_tokens_p95,seconds_per_item_in_batch_mean,seconds_per_item_in_batch_median,seconds_per_item_in_batch_std,seconds_per_item_in_batch_p95,json_valid_mean,json_valid_median,json_valid_std,json_valid_p95,schema_valid_mean,schema_valid_median,schema_valid_std,schema_valid_p95,truncated_at_limit_mean,truncated_at_limit_median,truncated_at_limit_std,truncated_at_limit_p95
gemma_3_12b_it,EBM-NLP,ablation,A2,84,0.23848001684623013,0.2247474747474747,0.12434627229756874,0.42237076648841343,0.3962639721257848,0.4110105580693816,0.15330593953854135,0.6153846153846154,1.0,1.0,0.0,1.0,0.003194611177804453,0.0,0.0144169697035964,0.0,732.8690476190476,722.0,128.4275408441461,977.9499999999997,768.0,768.0,0.0,768.0,32.54102852380953,32.4914115,1.5003375841073874,35.184552399999994,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
gemma_3_12b_it,EBM-NLP,ablation,A3,84,0.24266775308708527,0.23303167420814475,0.12552085682977543,0.45732526881720414,0.4294381246480867,0.43050193050193053,0.1398465281467613,0.6280357142857143,1.0,1.0,0.0,1.0,0.0014172335600907023,0.0,0.009314385965901818,0.0,615.8690476190476,605.0,128.4275408441461,860.9499999999997,768.0,768.0,0.0,768.0,31.799871988095237,31.135492,1.6825371490780017,34.8415061,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
gemma_3_12b_it,EBM-NLP,ablation,A4,84,0.2177565118578367,0.20526315789473681,0.12749571597898338,0.4231060606060605,0.38567697564628356,0.3809523809523809,0.1543906695302152,0.613076923076923,1.0,1.0,0.0,1.0,0.005395794681508966,0.0,0.026703490141363438,0.0,667.8690476190476,657.0,128.4275408441461,912.9499999999997,768.0,768.0,0.0,768.0,31.766490226190474,31.384306000000002,1.4812899420231993,34.835026850000006,1.0,1.0,0.0,1.0,0.9880952380952381,1.0,0.10910894511799618,1.0,1.0,1.0,0.0,1.0
gemma_3_12b_it,EBM-NLP,ablation,A5,84,0.2513918773173226,0.2431633407243163,0.127155570662985,0.4714285714285712,0.4293786246434707,0.44722222222222224,0.15365567866827434,0.6634408602150536,1.0,1.0,0.0,1.0,0.0032738095238095226,0.0,0.014849076588806999,0.0,922.8690476190476,912.0,128.4275408441461,1167.9499999999998,768.0,768.0,0.0,768.0,33.33300105952381,33.4214665,1.4530041915812753,35.45698825,1.0,1.0,0.0,1.0,0.9880952380952381,1.0,0.10910894511799618,1.0,1.0,1.0,0.0,1.0
gemma_3_12b_it,EBM-NLP,ablation,A6,84,0.2417233668224775,0.21395881006864986,0.14156617728797977,0.47321981424148607,0.4153231426004691,0.421832884097035,0.15227745712700777,0.663095238095238,1.0,1.0,0.0,1.0,0.00460592648092648,0.0,0.019237777954887524,0.03863636363636333,814.8690476190476,804.0,128.4275408441461,1059.9499999999998,768.0,768.0,0.0,768.0,33.10214858333333,33.3594075,1.386209305684184,35.36665995,1.0,1.0,0.0,1.0,0.9880952380952381,1.0,0.10910894511799618,1.0,1.0,1.0,0.0,1.0
gemma_3_12b_it,EBM-NLP,ablation_alias,A0,84,0.2539405306045311,0.24999999999999994,0.12731201638068726,0.5,0.4299252946724309,0.44949494949494945,0.14745540588890943,0.6428571428571429,1.0,1.0,0.0,1.0,0.002991315103116344,0.0,0.014129926094457125,0.0,558.8690476190476,548.0,128.4275408441461,803.9499999999997,768.0,768.0,0.0,768.0,31.318959000000003,30.893866,1.4332548058670813,33.87149855,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
gemma_3_12b_it,EBM-NLP,ablation_alias,A1,84,0.24732348269855084,0.2409988385598141,0.1329561972802134,0.4800000000000001,0.43528577255491513,0.4202037351443123,0.14253208376517312,0.6753846153846153,1.0,1.0,0.0,1.0,0.0049916457811194645,0.0,0.01934438657352237,0.05223684210526312,612.8690476190476,602.0,128.4275408441461,857.9499999999997,768.0,768.0,0.0,768.0,32.15487327380953,32.2238125,1.7208760990052152,34.834769449999996,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
gemma_3_12b_it,EBM-NLP,main,P1,191,0.238645369503609,0.2352941176470588,0.14431569487895152,0.5,0.43616381766173545,0.4615384615384615,0.17012029495221584,0.6761904761904762,1.0,1.0,0.0,1.0,0.01391544915101072,0.0,0.050500608011804594,0.1111111111111111,450.0471204188482,442.0,136.23537248214421,708.0,768.0,768.0,0.0,768.0,30.984440167539272,30.55294,1.8854215457457766,33.9846465,1.0,1.0,0.0,1.0,0.9685863874345549,1.0,0.1748912191922879,1.0,1.0,1.0,0.0,1.0
gemma_3_12b_it,EBM-NLP,main,P2,191,0.2281695872781888,0.2222222222222222,0.13724043309685272,0.4706533776301217,0.4106520705342859,0.4285714285714285,0.16478904941065223,0.6485294117647059,1.0,1.0,0.0,1.0,0.010400262144179604,0.0,0.03790284207613786,0.0871212121212121,500.0471204188482,492.0,136.23537248214424,758.0,768.0,768.0,0.0,768.0,31.136195643979057,30.840827,1.5743170899640628,33.880154000000005,1.0,1.0,0.0,1.0,0.9738219895287958,1.0,0.1600840231293682,1.0,1.0,1.0,0.0,1.0
gemma_3_12b_it,EBM-NLP,main,P3,191,0.23524278296315143,0.2307692307692307,0.13276804415878343,0.5,0.41819417614391563,0.4242424242424242,0.15501177006861402,0.6666666666666666,1.0,1.0,0.0,1.0,0.00511763502852267,0.0,0.02210438348759259,0.0465367965367965,559.0471204188482,551.0,136.23537248214424,817.0,768.0,768.0,0.0,768.0,31.204641722513095,30.843788,1.504231925763116,34.1774525,1.0,1.0,0.0,1.0,0.9895287958115183,1.0,0.10205926017510449,1.0,1.0,1.0,0.0,1.0
gemma_3_12b_it,EBM-NLP,main,P4,191,0.22192501638047427,0.2222222222222222,0.1274219899943299,0.44222222222222224,0.41971330437627813,0.4117647058823529,0.14578782911854726,0.6576576576576576,1.0,1.0,0.0,1.0,0.008737508658893578,0.0,0.03372839445028138,0.0625,613.0471204188482,605.0,136.23537248214424,871.0,768.0,768.0,0.0,768.0,31.866871905759165,31.642103,1.668589272528772,34.7772545,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
gemma_3_12b_it,EBM-NLP,main,P5,191,0.2138971601030143,0.1999999999999999,0.12990437401274446,0.4417344173441734,0.4131950856892445,0.4,0.156320435418465,0.6505813953488372,1.0,1.0,0.0,1.0,0.007609405760735731,0.0,0.029438747593636686,0.0645833333333333,790.0471204188482,782.0,136.23537248214424,1048.0,768.0,768.0,0.0,768.0,32.871649492146595,33.074482,1.5121499350069052,35.3185285,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
gemma_3_12b_it,EBM-NLP,main,P6,191,0.20507809514844136,0.1904761904761905,0.12934599754480836,0.43650793650793646,0.3862482001147065,0.3880597014925373,0.15073829235137634,0.6381818181818182,1.0,1.0,0.0,1.0,0.007413898824391099,0.0,0.03135682794283626,0.0625,954.0471204188482,946.0,136.23537248214424,1212.0,768.0,768.0,0.0,768.0,33.61049501570681,33.646852,1.3545214569711381,35.457908,1.0,1.0,0.0,1.0,0.9947643979057592,1.0,0.07235746052924216,1.0,1.0,1.0,0.0,1.0
gemma_3_12b_it,SciER,ablation,A2,16,0.13415264899954163,0.11732425183512135,0.06612342596555021,0.235620799434029,0.15343212465720743,0.14779553439873055,0.07496091942911719,0.25095744354912836,0.05414211177673044,0.04470529470529465,0.037351111707220545,0.11073324485733242,0.10438575746966729,0.11714770797962645,0.0863284782680218,0.24,4504.5,3675.0,1954.6754888386631,8744.0,2048.0,2048.0,0.0,2048.0,168.8260264375,167.4969285,5.87605396595475,181.35180675,1.0,1.0,0.0,1.0,0.9375,1.0,0.25,1.0,1.0,1.0,0.0,1.0
gemma_3_12b_it,SciER,ablation,A3,16,0.06012232222586508,0.0358851674641148,0.06651863167540183,0.1515825707329359,0.07052591321205681,0.0358851674641148,0.08012977938254007,0.20172416375810776,0.046994379760288266,0.036281365693130355,0.03725102491043987,0.09948652118100128,0.017857142857142856,0.0,0.07142857142857142,0.07142857142857142,4396.5,3567.0,1954.6754888386631,8636.0,2048.0,2048.0,0.0,2048.0,168.86633531249998,167.89427849999998,5.836686618351326,181.41760375,1.0,1.0,0.0,1.0,0.5,0.5,0.5163977794943222,1.0,1.0,1.0,0.0,1.0
gemma_3_12b_it,SciER,ablation,A4,16,0.10442602233191323,0.0956831330663106,0.07469359230481618,0.24325562455461666,0.12383557541102361,0.1172699151310049,0.08216763346212894,0.24538328412908475,0.038539452614556095,0.0315315315315315,0.03965376826206619,0.10613810741687976,0.053870524636653656,0.0,0.11596259374812071,0.26923076923076916,4389.5,3560.0,1954.6754888386631,8629.0,2048.0,2048.0,0.0,2048.0,168.6973324375,166.07909899999999,5.935278324173704,181.37785225,1.0,1.0,0.0,1.0,0.8125,1.0,0.4031128874149275,1.0,1.0,1.0,0.0,1.0
gemma_3_12b_it,SciER,ablation,A5,16,0.054909836540046914,0.02063273727647865,0.07346027900743941,0.18936575235787836,0.06509683410363679,0.0247592847317744,0.08915871220459838,0.2106082893484468,0.05675213218333993,0.0459815546772068,0.04115075266574602,0.12214912280701751,0.03442804164883753,0.0,0.07505470850290367,0.18360433604336038,4750.5,3921.0,1954.6754888386631,8990.0,2048.0,2048.0,0.0,2048.0,169.45866137500002,168.375592,5.4393385387785145,181.497941,1.0,1.0,0.0,1.0,0.5,0.5,0.5163977794943222,1.0,1.0,1.0,0.0,1.0
gemma_3_12b_it,SciER,ablation,A6,16,0.14107685482883542,0.1490384615384615,0.0631982269119944,0.21891743371342215,0.16135007675085256,0.16751012145748978,0.0664546731835662,0.23885510589222056,0.05742361961732875,0.0581317204301075,0.03892061995850939,0.1246983987716604,0.17956806136355824,0.1996021220159151,0.11922660166976405,0.33693877551020407,4641.5,3812.0,1954.6754888386631,8881.0,2048.0,2048.0,0.0,2048.0,168.9042801875,166.5936995,5.491225240688898,181.38074175,1.0,1.0,0.0,1.0,0.9375,1.0,0.25,1.0,1.0,1.0,0.0,1.0
gemma_3_12b_it,SciER,ablation_alias,A0,16,0.061411674185492794,0.0748896734333627,0.060087984178149034,0.15349948581453024,0.0746817565303893,0.09703081232492995,0.07228480124014094,0.17717264558611695,0.045253345960953525,0.0303130329537327,0.039054197092416504,0.10242605085625316,0.03310587262200164,0.0,0.0848017888467899,0.23974358974358967,4280.5,3451.0,1954.6754888386631,8520.0,2048.0,2048.0,0.0,2048.0,167.5074306875,165.89180149999999,4.936839594953862,174.7370415,1.0,1.0,0.0,1.0,0.5625,1.0,0.51234753829798,1.0,1.0,1.0,0.0,1.0
gemma_3_12b_it,SciER,ablation_alias,A1,16,0.12271004695862445,0.110905093200315,0.08348238313535188,0.24864079490063742,0.1369883541723481,0.1356692549592381,0.0890412151392448,0.28015248093988254,0.032988119802908486,0.018716577540106902,0.0355118896456009,0.08652553763440853,0.14819505388312126,0.060661764705882346,0.2513273164710907,0.5416666666666667,4345.5,3516.0,1954.6754888386631,8585.0,2048.0,2048.0,0.0,2048.0,168.55596131250002,166.4055625,5.82394473693661,180.68823025,1.0,1.0,0.0,1.0,0.8125,1.0,0.4031128874149275,1.0,1.0,1.0,0.0,1.0
gemma_3_12b_it,SciER,main,P1,16,0.1190080058638612,0.1266712807122408,0.07063788914589443,0.22995780590717296,0.13834335498582423,0.13639769526910056,0.07328701380877962,0.23295403537121823,0.05312356737277808,0.04712965846569085,0.047785884948515656,0.11923583662714095,0.058517871017871,0.0,0.12302314302036753,0.2772435897435897,4171.5,3342.0,1954.6754888386631,8411.0,2048.0,2048.0,0.0,2048.0,168.21494287500002,168.116914,4.570511230962521,173.64958825,1.0,1.0,0.0,1.0,0.875,1.0,0.3415650255319866,1.0,1.0,1.0,0.0,1.0
gemma_3_12b_it,SciER,main,P2,16,0.11706444313953648,0.1153872824353373,0.06933653118844273,0.2204680155323932,0.13475385618389002,0.1389117367921544,0.0771656407179913,0.23866758241758235,0.050215735392932934,0.0347149269410753,0.058596129431212056,0.17329545454545453,0.05385651173368519,0.0,0.1109946992458612,0.26518218623481776,4221.5,3392.0,1954.6754888386631,8461.0,2048.0,2048.0,0.0,2048.0,168.57764999999998,168.57555050000002,4.988887615363569,175.010335,1.0,1.0,0.0,1.0,0.875,1.0,0.3415650255319866,1.0,1.0,1.0,0.0,1.0
gemma_3_12b_it,SciER,main,P3,16,0.061411674185492794,0.0748896734333627,0.060087984178149034,0.15349948581453024,0.0746817565303893,0.09703081232492995,0.07228480124014094,0.17717264558611695,0.045253345960953525,0.0303130329537327,0.039054197092416504,0.10242605085625316,0.03310587262200164,0.0,0.0848017888467899,0.23974358974358967,4280.5,3451.0,1954.6754888386631,8520.0,2048.0,2048.0,0.0,2048.0,167.5074306875,165.89180149999999,4.936839594953862,174.7370415,1.0,1.0,0.0,1.0,0.5625,1.0,0.51234753829798,1.0,1.0,1.0,0.0,1.0
