model_id,dataset,transition,field,n,mean,median,std,p90,p95,max,bootstrap_ci_low,bootstrap_ci_high
gemma_3_12b_it,EBM-NLP,P1->P2,Intervention,191,0.038906792695609684,0.007150173187255859,0.15898950860783115,0.04048740863800049,0.0574226975440979,1.0,0.01868033339683922,0.06409747711338919
gemma_3_12b_it,EBM-NLP,P1->P2,Outcome,191,0.03927725085413269,0.005975902080535889,0.15914217716049872,0.04489302635192871,0.07162398099899292,1.0,0.018562630443048726,0.06430914626695722
gemma_3_12b_it,EBM-NLP,P1->P2,Participant,191,0.044940275983660634,0.0067408084869384766,0.15966903439714009,0.06295663118362427,0.1102532148361206,1.0,0.02380430689812955,0.06919953276193576
gemma_3_12b_it,EBM-NLP,P2->P3,Intervention,191,0.04545930480457725,0.004219710826873779,0.17402535934634153,0.05807626247406006,0.08599767088890076,1.0,0.02312092349635369,0.07229135816634014
gemma_3_12b_it,EBM-NLP,P2->P3,Outcome,191,0.050594367906061144,0.0049124956130981445,0.18696827332855784,0.05947721004486084,0.08433717489242554,1.0,0.027110162517787275,0.08033629636333874
gemma_3_12b_it,EBM-NLP,P2->P3,Participant,191,0.043923381111384684,0.006469547748565674,0.15956467119288836,0.06685841083526611,0.0981341302394867,1.0,0.02399848740918474,0.06889003620565871
gemma_3_12b_it,EBM-NLP,P3->P4,Intervention,191,0.03816156955289591,0.013067245483398438,0.12541247727834043,0.061999380588531494,0.0933440625667572,1.0,0.023158924585861683,0.05784378367724843
gemma_3_12b_it,EBM-NLP,P3->P4,Outcome,191,0.04766083450217522,0.009060800075531006,0.15950630263119653,0.07610583305358887,0.1204947829246521,1.0,0.027460602955668385,0.07251767507554345
gemma_3_12b_it,EBM-NLP,P3->P4,Participant,191,0.051111391701623404,0.02350473403930664,0.11012996620516544,0.10747140645980835,0.1305622160434723,1.0,0.03769135379198334,0.06862653585940753
gemma_3_12b_it,EBM-NLP,P4->P5,Intervention,191,0.02271499683719655,0.011110961437225342,0.030808995769552625,0.06407922506332397,0.08429521322250366,0.19877606630325317,0.018621092714876403,0.027171682164619102
gemma_3_12b_it,EBM-NLP,P4->P5,Outcome,191,0.03818361359741051,0.009537220001220703,0.14314078799596566,0.049615681171417236,0.07764813303947449,1.0,0.02072896908247034,0.05927374651606794
gemma_3_12b_it,EBM-NLP,P4->P5,Participant,191,0.027678879455746156,0.012981235980987549,0.03541870872176999,0.06663751602172852,0.09079700708389282,0.21458494663238525,0.022891379089255606,0.032820871971664625
gemma_3_12b_it,EBM-NLP,P5->P6,Intervention,191,0.022607564302015055,0.003607511520385742,0.07808871949524908,0.054047465324401855,0.0783420205116272,1.0,0.014146630130513177,0.035415004786708594
gemma_3_12b_it,EBM-NLP,P5->P6,Outcome,191,0.03258250209049405,0.00631338357925415,0.12600072302729462,0.06085658073425293,0.08842188119888306,1.0,0.017222951126348286,0.05261995391383844
gemma_3_12b_it,EBM-NLP,P5->P6,Participant,191,0.024506058680449482,0.0032126307487487793,0.10427798266162491,0.04315906763076782,0.0646614134311676,1.0,0.012669626377639971,0.041670562732594174
gemma_3_12b_it,SciER,P1->P2,Dataset,16,0.13269346579909325,1.1920928955078125e-07,0.3388762210234067,0.526528924703598,1.0,1.0,0.005473747756332159,0.3179684240370989
gemma_3_12b_it,SciER,P1->P2,Method,16,0.1288134641945362,0.0031864941120147705,0.34010572192598953,0.5069758296012878,1.0,1.0,0.003221048228442669,0.31560228476300833
gemma_3_12b_it,SciER,P1->P2,Task,16,0.2024890035390854,0.0062483251094818115,0.39652655926746394,1.0,1.0,1.0,0.022242619283497335,0.39501744015142315
gemma_3_12b_it,SciER,P1->P2,__RELATIONS__,16,0.07316846027970314,0.008157044649124146,0.24738247198949592,0.034479618072509766,0.2810875177383423,1.0,0.007578574120998383,0.1993406668305397
gemma_3_12b_it,SciER,P2->P3,Dataset,16,0.441457062959671,0.02906021475791931,0.508826867642614,1.0,1.0,1.0,0.19337393334135414,0.6892207194119692
gemma_3_12b_it,SciER,P2->P3,Method,16,0.4421023614704609,0.01809680461883545,0.508183366673791,1.0,1.0,1.0,0.1940426186658442,0.6894121043384075
gemma_3_12b_it,SciER,P2->P3,Task,16,0.50686389580369,0.5433972477912903,0.5097127576969407,1.0,1.0,1.0,0.2585390731692314,0.7510415762662888
gemma_3_12b_it,SciER,P2->P3,__RELATIONS__,16,0.07612743601202965,0.01298445463180542,0.24658736409035556,0.03487128019332886,0.28537261486053467,1.0,0.010898062493652105,0.20145762925967572
gemma_3_12b_it,SciER,P3->P4,Dataset,16,0.5075005516409874,0.5252018868923187,0.5087905727570313,1.0,1.0,1.0,0.26065079849213363,0.7542646724730729
gemma_3_12b_it,SciER,P3->P4,Method,16,0.4432959109544754,0.03489765524864197,0.5072609036054012,1.0,1.0,1.0,0.1972892014309764,0.6890000561252236
