model_id,dataset,record_id,transition,left_condition,right_condition,field_count,psi,left_json_valid,right_json_valid,left_schema_valid,right_schema_valid,both_schema_valid,schema_break,delta_entity_exact_f1,abs_delta_entity_exact_f1,delta_entity_partial_f1,abs_delta_entity_partial_f1,delta_relation_exact_f1,abs_delta_relation_exact_f1
gemma_3_12b_it,EBM-NLP,10752495,P2->P3,P2,P3,3,0.02549980084101359,1,1,1,1,1,0,-0.1156156156156157,0.1156156156156157,-0.0675675675675676,0.0675675675675676,0.0,0.0
gemma_3_12b_it,EBM-NLP,10752495,P3->P4,P3,P4,3,0.01793136199315389,1,1,1,1,1,0,-0.004267425320056889,0.004267425320056889,-0.011379800853485111,0.011379800853485111,0.0,0.0
gemma_3_12b_it,EBM-NLP,10752495,P4->P5,P4,P5,3,0.07223707437515259,1,1,1,1,1,0,0.07067669172932331,0.07067669172932331,0.1503759398496241,0.1503759398496241,0.0,0.0
gemma_3_12b_it,EBM-NLP,10752495,P5->P6,P5,P6,3,0.07285048564275105,1,1,1,1,1,0,0.02142857142857149,0.02142857142857149,-0.0714285714285714,0.0714285714285714,0.0,0.0
gemma_3_12b_it,EBM-NLP,10763172,P1->P2,P1,P2,3,0.040016372998555504,1,1,1,1,1,0,-0.0412757973733584,0.0412757973733584,-0.03126954346466543,0.03126954346466543,0.0,0.0
gemma_3_12b_it,EBM-NLP,10763172,P2->P3,P2,P3,3,0.0467292865117391,1,1,1,1,1,0,0.051282051282051294,0.051282051282051294,0.0,0.0,0.0,0.0
gemma_3_12b_it,EBM-NLP,10763172,P3->P4,P3,P4,3,0.07703326145807902,1,1,1,1,1,0,0.023443223443223415,0.023443223443223415,-0.07326007326007328,0.07326007326007328,0.0,0.0
gemma_3_12b_it,EBM-NLP,10763172,P4->P5,P4,P5,3,0.01789941390355428,1,1,1,1,1,0,-0.11428571428571431,0.11428571428571431,0.0,0.0,0.0,0.0
gemma_3_12b_it,EBM-NLP,10763172,P5->P6,P5,P6,3,0.0006306966145833334,1,1,1,1,1,0,0.057142857142857204,0.057142857142857204,0.0,0.0,0.0,0.0
gemma_3_12b_it,EBM-NLP,10764172,P1->P2,P1,P2,3,0.01990280548731486,1,1,1,1,1,0,0.021520803443328407,0.021520803443328407,0.13916786226685796,0.13916786226685796,0.0,0.0
gemma_3_12b_it,EBM-NLP,10764172,P2->P3,P2,P3,3,0.05984459320704142,1,1,1,1,1,0,-0.1844919786096256,0.1844919786096256,-0.12032085561497324,0.12032085561497324,0.0,0.0
gemma_3_12b_it,EBM-NLP,10764172,P3->P4,P3,P4,3,0.021593928337097168,1,1,1,1,1,0,0.016629711751663,0.016629711751663,0.02993348115299327,0.02993348115299327,0.0,0.0
gemma_3_12b_it,EBM-NLP,10764172,P4->P5,P4,P5,3,0.012564738591512045,1,1,1,1,1,0,-0.008608321377331418,0.008608321377331418,-0.027259684361549574,0.027259684361549574,0.0,0.0
gemma_3_12b_it,EBM-NLP,10764172,P5->P6,P5,P6,3,0.011933008829752604,1,1,1,1,1,0,0.03497615262321138,0.03497615262321138,0.02066772655007959,0.02066772655007959,0.0,0.0
gemma_3_12b_it,EBM-NLP,10912743,P1->P2,P1,P2,3,0.0032112598419189453,1,1,1,1,1,0,-0.05641025641025649,0.05641025641025649,0.03846153846153849,0.03846153846153849,0.0,0.0
gemma_3_12b_it,EBM-NLP,10912743,P2->P3,P2,P3,3,0.0207827091217041,1,1,1,1,1,0,0.07027027027027027,0.07027027027027027,-0.0675675675675676,0.0675675675675676,0.0,0.0
gemma_3_12b_it,EBM-NLP,10912743,P3->P4,P3,P4,3,0.016780495643615723,1,1,1,1,1,0,0.007507507507507505,0.007507507507507505,-0.043543543543543506,0.043543543543543506,0.0,0.0
gemma_3_12b_it,EBM-NLP,10912743,P4->P5,P4,P5,3,0.008756617705027262,1,1,1,1,1,0,-0.12393162393162388,0.12393162393162388,-0.02991452991452992,0.02991452991452992,0.0,0.0
gemma_3_12b_it,EBM-NLP,10912743,P5->P6,P5,P6,3,0.013968308766682943,1,1,1,1,1,0,0.022624434389140302,0.022624434389140302,0.052790346907994,0.052790346907994,0.0,0.0
gemma_3_12b_it,EBM-NLP,10934569,P1->P2,P1,P2,3,5.960464477539063e-08,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_3_12b_it,EBM-NLP,10934569,P2->P3,P2,P3,3,5.960464477539063e-08,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_3_12b_it,EBM-NLP,10934569,P3->P4,P3,P4,3,0.019513408342997234,1,1,1,1,1,0,0.08258064516129032,0.08258064516129032,0.05161290322580647,0.05161290322580647,0.0,0.0
gemma_3_12b_it,EBM-NLP,10934569,P4->P5,P4,P5,3,0.0016168554623921712,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_3_12b_it,EBM-NLP,10934569,P5->P6,P5,P6,3,7.947285970052083e-08,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_3_12b_it,EBM-NLP,10940525,P1->P2,P1,P2,3,0.03119303782780965,1,1,1,1,1,0,0.004445679355376486,0.004445679355376486,0.0066685190330647015,0.0066685190330647015,0.0,0.0
