model_id,dataset,transition,grouping,target,n,spearman_rho,p_value,p_holm,significant_holm_005
gemma_3_12b_it,SciER,P2->P3,model_id+dataset+transition,delta_entity_partial_f1,16,-0.5029411764705883,0.047063140467273036,1.0,0
gemma_3_12b_it,SciER,P2->P3,model_id+dataset+transition,abs_delta_entity_partial_f1,16,0.8117647058823528,0.00013432237477471032,0.0016118684972965239,1
gemma_3_12b_it,SciER,P2->P3,model_id+dataset+transition,delta_relation_exact_f1,16,0.1780721600558412,0.5093726614235989,1.0,0
gemma_3_12b_it,SciER,P2->P3,model_id+dataset+transition,abs_delta_relation_exact_f1,16,0.10154528135415737,0.7082538611924278,1.0,0
gemma_3_12b_it,SciER,P3->P4,model_id+dataset+transition,delta_entity_exact_f1,16,0.3952819557905678,0.12967681249977833,1.0,0
gemma_3_12b_it,SciER,P3->P4,model_id+dataset+transition,abs_delta_entity_exact_f1,16,0.7669649888473704,0.0005265589252224249,0.004812899633044114,1
gemma_3_12b_it,SciER,P3->P4,model_id+dataset+transition,delta_entity_partial_f1,16,0.3775827637402439,0.14934824585632406,1.0,0
gemma_3_12b_it,SciER,P3->P4,model_id+dataset+transition,abs_delta_entity_partial_f1,16,0.769914854189091,0.00048576049277265304,0.004857604927726531,1
gemma_3_12b_it,SciER,P3->P4,model_id+dataset+transition,delta_relation_exact_f1,16,0.1828916511866806,0.4977859446263886,1.0,0
gemma_3_12b_it,SciER,P3->P4,model_id+dataset+transition,abs_delta_relation_exact_f1,16,-0.32743505293099273,0.21572417401136842,1.0,0
gemma_3_12b_it,SciER,P4->P5,model_id+dataset+transition,delta_entity_exact_f1,16,0.38938222510712656,0.13602353765473474,1.0,0
gemma_3_12b_it,SciER,P4->P5,model_id+dataset+transition,abs_delta_entity_exact_f1,16,0.4041315518157298,0.12054409220098125,0.2410881844019625,0
gemma_3_12b_it,SciER,P4->P5,model_id+dataset+transition,delta_entity_partial_f1,16,0.3628334370316406,0.16721153262050986,1.0,0
gemma_3_12b_it,SciER,P4->P5,model_id+dataset+transition,abs_delta_entity_partial_f1,16,0.3126857262223895,0.23834038540462513,0.47668077080925025,0
gemma_3_12b_it,SciER,P4->P5,model_id+dataset+transition,delta_relation_exact_f1,16,0.06789684537856434,0.8027077422678531,1.0,0
gemma_3_12b_it,SciER,P4->P5,model_id+dataset+transition,abs_delta_relation_exact_f1,16,-0.1505538745350775,0.5778323620502541,1.0,0
gemma_3_12b_it,SciER,P5->P6,model_id+dataset+transition,delta_entity_exact_f1,16,-0.4506627393225331,0.07979684348901402,1.0,0
gemma_3_12b_it,SciER,P5->P6,model_id+dataset+transition,abs_delta_entity_exact_f1,16,0.7702503681885124,0.0004812899633044114,0.004812899633044114,1
gemma_3_12b_it,SciER,P5->P6,model_id+dataset+transition,delta_entity_partial_f1,16,-0.408857090649181,0.11585499136644005,1.0,0
gemma_3_12b_it,SciER,P5->P6,model_id+dataset+transition,abs_delta_entity_partial_f1,16,0.7808137218534901,0.00035689285084698676,0.003925821359316854,1
gemma_3_12b_it,SciER,P5->P6,model_id+dataset+transition,delta_relation_exact_f1,16,0.14422373293778876,0.5941040166002363,1.0,0
gemma_3_12b_it,SciER,P5->P6,model_id+dataset+transition,abs_delta_relation_exact_f1,16,-0.12950702549515725,0.6326299103072028,1.0,0
gemma_3_12b_it,SciERC,P1->P2,model_id+dataset+transition,delta_entity_exact_f1,100,0.282663649377575,0.004379473682165917,0.1839378946509685,0
gemma_3_12b_it,SciERC,P1->P2,model_id+dataset+transition,abs_delta_entity_exact_f1,100,0.797718204296348,2.979641374043859e-23,1.221652963357982e-21,1
gemma_3_12b_it,SciERC,P1->P2,model_id+dataset+transition,delta_entity_partial_f1,100,0.3729424918687231,0.000132717029703987,0.005574115247567454,1
gemma_3_12b_it,SciERC,P1->P2,model_id+dataset+transition,abs_delta_entity_partial_f1,100,0.8714735506954745,4.3775782079581166e-32,1.8385828473424088e-30,1
gemma_3_12b_it,SciERC,P1->P2,model_id+dataset+transition,delta_relation_exact_f1,100,0.11793686576768458,0.24255490357714596,1.0,0
gemma_3_12b_it,SciERC,P1->P2,model_id+dataset+transition,abs_delta_relation_exact_f1,100,0.4531308735689058,2.201714437507986e-06,6.38497186877316e-05,1
gemma_3_12b_it,SciERC,P2->P3,model_id+dataset+transition,delta_entity_exact_f1,100,0.08214860476173204,0.4164861371598074,1.0,0
gemma_3_12b_it,SciERC,P2->P3,model_id+dataset+transition,abs_delta_entity_exact_f1,100,0.7878439382111954,2.3792004616337524e-22,9.278881800371635e-21,1
gemma_3_12b_it,SciERC,P2->P3,model_id+dataset+transition,delta_entity_partial_f1,100,0.06539417227332564,0.5180122519660351,1.0,0
gemma_3_12b_it,SciERC,P2->P3,model_id+dataset+transition,abs_delta_entity_partial_f1,100,0.8181835259247308,2.719728729846887e-25,1.0606942046402859e-23,1
gemma_3_12b_it,SciERC,P2->P3,model_id+dataset+transition,delta_relation_exact_f1,100,-0.04246697516628725,0.6748361818421433,1.0,0
gemma_3_12b_it,SciERC,P2->P3,model_id+dataset+transition,abs_delta_relation_exact_f1,100,0.4557072179626351,1.8954262854611703e-06,5.686278856383511e-05,1
gemma_3_12b_it,SciERC,P3->P4,model_id+dataset+transition,delta_entity_exact_f1,100,0.6464939605273305,3.729854593877863e-13,1.6784345672450385e-11,1
gemma_3_12b_it,SciERC,P3->P4,model_id+dataset+transition,abs_delta_entity_exact_f1,100,0.6563328071113174,1.2346078052448072e-13,3.827284196258903e-12,1
gemma_3_12b_it,SciERC,P3->P4,model_id+dataset+transition,delta_entity_partial_f1,100,0.631802083569175,1.8072471188969784e-12,8.132612035036403e-11,1
gemma_3_12b_it,SciERC,P3->P4,model_id+dataset+transition,abs_delta_entity_partial_f1,100,0.6862098508761071,3.2961342201991576e-15,1.0218016082617388e-13,1
gemma_3_12b_it,SciERC,P3->P4,model_id+dataset+transition,delta_relation_exact_f1,100,0.22603599385731646,0.023741147730935105,0.7122344319280531,0
gemma_3_12b_it,SciERC,P3->P4,model_id+dataset+transition,abs_delta_relation_exact_f1,100,0.06619548596737987,0.5128858912917519,1.0,0
gemma_3_12b_it,SciERC,P4->P5,model_id+dataset+transition,delta_entity_exact_f1,100,-0.06814319538465657,0.5005349274890951,1.0,0
gemma_3_12b_it,SciERC,P4->P5,model_id+dataset+transition,abs_delta_entity_exact_f1,100,0.2641775013512558,0.007909225673284025,0.03954612836642012,1
gemma_3_12b_it,SciERC,P4->P5,model_id+dataset+transition,delta_entity_partial_f1,100,0.0383775639819796,0.704620782163893,1.0,0
gemma_3_12b_it,SciERC,P4->P5,model_id+dataset+transition,abs_delta_entity_partial_f1,100,0.306196029142095,0.0019467451456772322,0.013627216019740625,1
gemma_3_12b_it,SciERC,P4->P5,model_id+dataset+transition,delta_relation_exact_f1,100,0.08299281931615697,0.4116967100965405,1.0,0
gemma_3_12b_it,SciERC,P4->P5,model_id+dataset+transition,abs_delta_relation_exact_f1,100,-0.1043519776289067,0.30149900414255576,1.0,0
gemma_3_12b_it,SciERC,P5->P6,model_id+dataset+transition,delta_entity_exact_f1,100,-0.181744526267873,0.07034251933026284,1.0,0
gemma_3_12b_it,SciERC,P5->P6,model_id+dataset+transition,abs_delta_entity_exact_f1,100,0.5498515437049915,3.1196830367630678e-09,7.175270984555056e-08,1
gemma_3_12b_it,SciERC,P5->P6,model_id+dataset+transition,delta_entity_partial_f1,100,-0.24979130927006488,0.012197625285628583,0.4879050114251433,0
gemma_3_12b_it,SciERC,P5->P6,model_id+dataset+transition,abs_delta_entity_partial_f1,100,0.6092804661090637,1.7364984428680197e-11,3.8202965743096433e-10,1
gemma_3_12b_it,SciERC,P5->P6,model_id+dataset+transition,delta_relation_exact_f1,100,-0.03107059555375025,0.7589394985608477,1.0,0
gemma_3_12b_it,SciERC,P5->P6,model_id+dataset+transition,abs_delta_relation_exact_f1,100,0.07595641197762143,0.4525921713916644,1.0,0
mistral_7b_instruct_v03,EBM-NLP,P1->P2,model_id+dataset+transition,delta_entity_exact_f1,191,0.046256892170900475,0.5251501039446795,1.0,0
mistral_7b_instruct_v03,EBM-NLP,P1->P2,model_id+dataset+transition,abs_delta_entity_exact_f1,191,0.4218930956051882,1.2125300791114235e-09,2.910072189867416e-08,1
mistral_7b_instruct_v03,EBM-NLP,P1->P2,model_id+dataset+transition,delta_entity_partial_f1,191,-0.09549651703080174,0.18880244707177357,1.0,0
mistral_7b_instruct_v03,EBM-NLP,P1->P2,model_id+dataset+transition,abs_delta_entity_partial_f1,191,0.5659581160044106,1.4424958897499884e-17,4.760236436174961e-16,1
mistral_7b_instruct_v03,EBM-NLP,P1->P2,model_id+dataset+transition,delta_relation_exact_f1,191,,,,0
mistral_7b_instruct_v03,EBM-NLP,P1->P2,model_id+dataset+transition,abs_delta_relation_exact_f1,191,,,,0
