model_id,dataset,transition,n,mean,median,std,p90,p95,max,bootstrap_ci_low,bootstrap_ci_high
gemma_3_12b_it,EBM-NLP,P1->P2,191,0.041041439844467675,0.012991507848103842,0.15829024147229626,0.03977620601654053,0.049450566371281944,1.0,0.02041566494143654,0.06551205303136379
gemma_3_12b_it,EBM-NLP,P2->P3,191,0.04665901794067437,0.011829058329264322,0.16612626853362986,0.042609592278798424,0.07020017504692078,1.0,0.025528710737278328,0.07230344204846477
gemma_3_12b_it,EBM-NLP,P3->P4,191,0.04564459858556484,0.022941092650095623,0.11638354534040321,0.06764217217763265,0.08844244480133057,1.0,0.030845318440783503,0.06328483635842487
gemma_3_12b_it,EBM-NLP,P4->P5,191,0.029525829963451072,0.017939984798431396,0.05117653162711822,0.05402245124181112,0.0688993732134501,0.35249197483062744,0.022840432042538807,0.03721181601285935
gemma_3_12b_it,EBM-NLP,P5->P6,191,0.026565375024319528,0.010103225708007812,0.0698947968091119,0.04435312747955322,0.07450335224469502,0.6666666666666666,0.0180195437155885,0.03741238694020382
gemma_3_12b_it,SciER,P1->P2,16,0.1342910984531045,0.01641996204853058,0.2992257838456744,0.5031001940369606,0.812969945371151,1.0,0.012447965471073985,0.28926134125795216
gemma_3_12b_it,SciER,P2->P3,16,0.3666376890614629,0.14608697593212128,0.39372641162696054,0.7551150247454643,0.8167335763573647,1.0,0.18262734357267618,0.5528808902483433
gemma_3_12b_it,SciER,P3->P4,16,0.4424183266237378,0.4014415740966797,0.3790186231801562,1.0,1.0,1.0,0.27131920561660083,0.6256956437369807
gemma_3_12b_it,SciER,P4->P5,16,0.33352162316441536,0.25370652228593826,0.3616918339324787,1.0,1.0,1.0,0.1718146872939542,0.5163855414604768
gemma_3_12b_it,SciER,P5->P6,16,0.1673001116141677,0.010685279965400696,0.33740576728878585,0.6431153267621994,1.0,1.0,0.027348805335350335,0.3400664712768047
gemma_3_12b_it,SciERC,P1->P2,100,0.18826509790761128,0.005248976605279105,0.3271739084583769,0.8571428571428571,0.8642857142857139,1.0,0.1277642462104559,0.2548569573717458
gemma_3_12b_it,SciERC,P2->P3,100,0.11096385146890368,0.004272252321243286,0.2403018268884023,0.44539563911301866,0.8571428571428571,0.8571428571428571,0.06723872881063395,0.16133911952376365
gemma_3_12b_it,SciERC,P3->P4,100,0.3942059849841254,0.2998971513339451,0.332045620943739,0.8571428571428571,1.0,1.0,0.3300371992928642,0.4577275089685404
gemma_3_12b_it,SciERC,P4->P5,100,0.10283117984022411,0.03871937734740121,0.11154073387760734,0.2881849638053349,0.3023633790867669,0.4652319976261684,0.08179909686744212,0.12505616185281956
gemma_3_12b_it,SciERC,P5->P6,100,0.03059096225670406,0.0027173246656145367,0.06324288391694158,0.14518686873572215,0.14949683802468436,0.3025421415056501,0.01892241087130138,0.043452202222176946
mistral_7b_instruct_v03,EBM-NLP,P1->P2,191,0.052880479923301554,0.02464739481608073,0.13323779774825323,0.09055370092391968,0.11478812495867412,1.0,0.036312147967166294,0.0732477520278819
mistral_7b_instruct_v03,EBM-NLP,P2->P3,191,0.03172425522646147,0.01044162114461263,0.08363125527618849,0.06858607133229573,0.08791916569073994,1.0,0.022027123666142498,0.04547616888819357
mistral_7b_instruct_v03,EBM-NLP,P3->P4,191,0.19082995432625682,0.10821988185246785,0.17550963178041504,0.407581627368927,0.4281710882981618,1.0,0.1665498754975059,0.21595337925052976
mistral_7b_instruct_v03,EBM-NLP,P4->P5,191,0.16729817475739991,0.07154333591461182,0.17883801722379905,0.4019627769788106,0.4265381395816803,1.0,0.1420896113178909,0.19265425320955262
mistral_7b_instruct_v03,EBM-NLP,P5->P6,191,0.11132797458409015,0.014681915442148844,0.1822158908169757,0.36431548992792767,0.4245927333831787,1.0,0.08644443090881561,0.13743510815797674
mistral_7b_instruct_v03,SciER,P1->P2,16,0.21327863074839115,0.04365041106939316,0.3909348081611394,1.0,1.0,1.0,0.034091939614154396,0.3984808495268225
mistral_7b_instruct_v03,SciER,P2->P3,16,0.145002331584692,0.021887734532356262,0.3342867220781974,0.5332064032554626,1.0,1.0,0.01897558814380318,0.3271350843599066
mistral_7b_instruct_v03,SciER,P3->P4,16,0.3384340489283204,0.08569099009037018,0.40431384431723877,1.0,1.0,1.0,0.16140085731167347,0.5413916870485991
mistral_7b_instruct_v03,SciER,P4->P5,16,0.46468793973326683,0.26247488707304,0.46568825224214333,1.0,1.0,1.0,0.24229702034499495,0.689671149640344
mistral_7b_instruct_v03,SciER,P5->P6,16,0.2566557703539729,0.008739396929740906,0.4145849905113253,1.0,1.0,1.0,0.0719076334265992,0.4699099706253036
mistral_7b_instruct_v03,SciERC,P1->P2,100,0.25865312210151126,0.14538971015385221,0.32633142622279726,0.8571428571428571,0.8642857142857139,1.0,0.19519929246178697,0.3269463307921375
mistral_7b_instruct_v03,SciERC,P2->P3,100,0.21642180732318334,0.008991322347096035,0.310932972068421,0.7142857142857143,0.8642857142857139,1.0,0.1572056971767119,0.28039650673312794
mistral_7b_instruct_v03,SciERC,P3->P4,100,0.4389081288235528,0.43689678822244915,0.2449850704784627,0.7142857142857143,0.721984534178461,0.8571428571428571,0.3911240599474736,0.48699694439343044
mistral_7b_instruct_v03,SciERC,P4->P5,100,0.2330810012136187,0.15521898014204843,0.23656309046136223,0.5857142857142869,0.7142857142857143,0.8571428571428571,0.18763617626045434,0.2801350351082427
mistral_7b_instruct_v03,SciERC,P5->P6,100,0.107667578629085,0.008424563067299978,0.1959982232973128,0.31253551755632714,0.5714285714285714,1.0,0.07158591955687318,0.14868686249639299
qwen3_8b,EBM-NLP,P1->P2,191,0.0277561929213439,0.004783431688944499,0.08915674689780355,0.051917076110839844,0.08326611916224161,1.0,0.017233378709298777,0.04183357523113852
qwen3_8b,EBM-NLP,P2->P3,191,0.0390702830351252,0.0028640429178873696,0.13160028256529346,0.06658657391866048,0.10144651929537454,1.0,0.0226974006176619,0.059060564509757094
qwen3_8b,EBM-NLP,P3->P4,191,0.08648600482607804,0.04026097059249878,0.15121043462385303,0.17738751570383707,0.34793731570243835,1.0,0.06649649041537421,0.10970509892254808
qwen3_8b,EBM-NLP,P4->P5,191,0.10361955760869267,0.04368788003921509,0.1495716009733628,0.35067667563756305,0.3736708263556162,1.0,0.08335060602083257,0.12626274111851346
