model_id,dataset,transition,n,mean,median,std,p90,p95,max,bootstrap_ci_low,bootstrap_ci_high
qwen3_8b,EBM-NLP,P5->P6,191,0.043040644019894166,0.0014965136845906575,0.10900831917624457,0.11126561959584554,0.2925622761249542,1.0,0.028809578779168156,0.06025780242255013
qwen3_8b,SciER,P1->P2,16,0.2530701095238328,0.0,0.44543554007407454,1.0,1.0,1.0,0.06528489477932453,0.44605542304923607
qwen3_8b,SciER,P2->P3,16,0.15851781610399485,0.0,0.339519147348792,0.6293206214904785,1.0,1.0,0.017736289650201797,0.3300359332934022
qwen3_8b,SciER,P3->P4,16,0.34375,0.0,0.46435439052516775,1.0,1.0,1.0,0.125,0.578125
qwen3_8b,SciER,P4->P5,16,0.25,0.0,0.4472135954999579,1.0,1.0,1.0,0.0625,0.5
qwen3_8b,SciER,P5->P6,16,0.18753697909414768,0.0,0.4030945673680003,1.0,1.0,1.0,3.697909414768219e-05,0.3750369790941477
qwen3_8b,SciERC,P1->P2,100,0.13030242996556415,0.012807769434792655,0.24568014394222268,0.3025561724390305,0.8571428571428571,1.0,0.08589380899923191,0.18064001062086635
qwen3_8b,SciERC,P2->P3,100,0.17633461722305843,0.014490255287715366,0.300104119138826,0.8571428571428571,1.0,1.0,0.12163164749528682,0.23974884196051524
qwen3_8b,SciERC,P3->P4,100,0.28559957683086395,0.16076103278568812,0.2874005105589577,0.7285714285714298,0.8571428571428571,0.8571428571428571,0.22826495165058544,0.34366301635546326
qwen3_8b,SciERC,P4->P5,100,0.1902128665787833,0.1473956320966993,0.2336945626846639,0.4875395808901127,0.8571428571428571,0.8571428571428571,0.14754338701920852,0.2362791415389095
qwen3_8b,SciERC,P5->P6,100,0.06589859775134496,0.0028128411088671,0.17441274428366987,0.15013261692864555,0.28801685316222053,0.8571428571428571,0.035615792853491646,0.10306048674455712
