model_id,dataset,transition,field,variant,paired_documents,dropout_events,idr,idr_ci_low,idr_ci_high
gemma_3_12b_it,SciER,P1->P2,Method,inclusive,16,1,0.0625,0.0,0.1875
gemma_3_12b_it,SciER,P1->P2,Task,valid_only,13,0,0.0,0.0,0.0
gemma_3_12b_it,SciER,P1->P2,Task,inclusive,16,1,0.0625,0.0,0.1875
gemma_3_12b_it,SciER,P1->P2,__ANY_FIELD__,valid_only,13,0,0.0,0.0,0.0
gemma_3_12b_it,SciER,P1->P2,__ANY_FIELD__,inclusive,16,1,0.0625,0.0,0.1875
gemma_3_12b_it,SciER,P2->P3,Dataset,valid_only,8,0,0.0,0.0,0.0
gemma_3_12b_it,SciER,P2->P3,Dataset,inclusive,16,6,0.375,0.125,0.625
gemma_3_12b_it,SciER,P2->P3,Method,valid_only,8,0,0.0,0.0,0.0
gemma_3_12b_it,SciER,P2->P3,Method,inclusive,16,6,0.375,0.125,0.625
gemma_3_12b_it,SciER,P2->P3,Task,valid_only,8,1,0.125,0.0,0.375
gemma_3_12b_it,SciER,P2->P3,Task,inclusive,16,7,0.4375,0.1875,0.6875
gemma_3_12b_it,SciER,P2->P3,__ANY_FIELD__,valid_only,8,1,0.125,0.0,0.375
gemma_3_12b_it,SciER,P2->P3,__ANY_FIELD__,inclusive,16,7,0.4375,0.1875,0.6875
gemma_3_12b_it,SciER,P3->P4,Dataset,valid_only,8,1,0.125,0.0,0.375
gemma_3_12b_it,SciER,P3->P4,Dataset,inclusive,16,2,0.125,0.0,0.3125
gemma_3_12b_it,SciER,P3->P4,Method,valid_only,8,0,0.0,0.0,0.0
gemma_3_12b_it,SciER,P3->P4,Method,inclusive,16,1,0.0625,0.0,0.1875
gemma_3_12b_it,SciER,P3->P4,Task,valid_only,8,3,0.375,0.125,0.75
gemma_3_12b_it,SciER,P3->P4,Task,inclusive,16,4,0.25,0.0625,0.5
gemma_3_12b_it,SciER,P3->P4,__ANY_FIELD__,valid_only,8,3,0.375,0.125,0.75
gemma_3_12b_it,SciER,P3->P4,__ANY_FIELD__,inclusive,16,4,0.25,0.0625,0.5
gemma_3_12b_it,SciER,P4->P5,Dataset,valid_only,12,0,0.0,0.0,0.0
gemma_3_12b_it,SciER,P4->P5,Dataset,inclusive,16,1,0.0625,0.0,0.1875
gemma_3_12b_it,SciER,P4->P5,Method,valid_only,12,0,0.0,0.0,0.0
gemma_3_12b_it,SciER,P4->P5,Method,inclusive,16,1,0.0625,0.0,0.1875
gemma_3_12b_it,SciER,P4->P5,Task,valid_only,12,0,0.0,0.0,0.0
gemma_3_12b_it,SciER,P4->P5,Task,inclusive,16,1,0.0625,0.0,0.1875
gemma_3_12b_it,SciER,P4->P5,__ANY_FIELD__,valid_only,12,0,0.0,0.0,0.0
gemma_3_12b_it,SciER,P4->P5,__ANY_FIELD__,inclusive,16,1,0.0625,0.0,0.1875
gemma_3_12b_it,SciER,P5->P6,Dataset,valid_only,14,0,0.0,0.0,0.0
gemma_3_12b_it,SciER,P5->P6,Dataset,inclusive,16,1,0.0625,0.0,0.1875
