model_id,dataset,record_id,transitions,mean_psi,median_psi,p95_psi,max_psi,schema_breaks
gemma_3_12b_it,EBM-NLP,10070173,5,0.01199889580408732,0.003013789653778076,0.030337814490000403,0.03216282526652018,0
gemma_3_12b_it,EBM-NLP,10390665,5,0.007000243663787842,0.002003928025563558,0.019189818700154623,0.02098397413889567,0
gemma_3_12b_it,EBM-NLP,10475150,5,0.01039183537165324,0.006002604961395264,0.027745544910430905,0.032733639081319175,0
gemma_3_12b_it,EBM-NLP,10578479,5,0.01050740083058675,0.00933776299158732,0.014913515249888102,0.014988640944163004,0
gemma_3_12b_it,EBM-NLP,10589810,5,0.009560652573903402,0.011410057544708252,0.016708095868428547,0.017324050267537434,0
gemma_3_12b_it,EBM-NLP,10752495,5,0.038399672508239745,0.02549980084101359,0.07272780338923136,0.07285048564275105,0
gemma_3_12b_it,EBM-NLP,10763172,5,0.036461806297302245,0.040016372998555504,0.07097246646881103,0.07703326145807902,0
gemma_3_12b_it,EBM-NLP,10764172,5,0.02516781489054362,0.01990280548731486,0.05219446023305256,0.05984459320704142,0
gemma_3_12b_it,EBM-NLP,10912743,5,0.012699878215789795,0.013968308766682943,0.019982266426086425,0.0207827091217041,0
gemma_3_12b_it,EBM-NLP,10934569,5,0.004226092497507732,7.947285970052083e-08,0.015934097766876217,0.019513408342997234,0
gemma_3_12b_it,EBM-NLP,10940525,5,0.021649142106374107,0.02252461512883504,0.030491566658020018,0.03119303782780965,0
gemma_3_12b_it,EBM-NLP,11099086,5,0.01764420668284098,0.019981642564137776,0.027943992614746095,0.028375009695688885,0
gemma_3_12b_it,EBM-NLP,11229858,5,0.0058962066968282064,0.005513111750284831,0.014166033267974852,0.01605282227198283,0
gemma_3_12b_it,EBM-NLP,1131298,5,0.023056169350941978,0.005946298440297444,0.07275909582773843,0.08482033014297485,0
gemma_3_12b_it,EBM-NLP,11317090,5,0.025607033570607507,0.031156222025553387,0.04181282917658488,0.04435312747955322,0
gemma_3_12b_it,EBM-NLP,11381289,5,0.01294867992401123,0.003306428591410319,0.03845330874125162,0.04389252265294393,0
gemma_3_12b_it,EBM-NLP,11401641,5,0.021191553274790446,0.019399245580037434,0.04223155577977498,0.04741815725962321,0
gemma_3_12b_it,EBM-NLP,11454878,5,0.02086104154586792,0.0014989376068115234,0.052765274047851564,0.05402245124181112,0
gemma_3_12b_it,EBM-NLP,11495215,5,0.005498369534810384,0.005098859469095866,0.007393956184387207,0.007546703020731608,0
gemma_3_12b_it,EBM-NLP,11642083,5,0.013871729373931885,0.011319379011789957,0.026659568150838215,0.027640819549560547,0
gemma_3_12b_it,EBM-NLP,11737955,5,0.030697131156921388,0.02575757106145223,0.0511956771214803,0.056068241596221924,0
gemma_3_12b_it,EBM-NLP,11750293,5,0.02534060875574748,0.018340806166330974,0.041487403710683185,0.043459296226501465,0
gemma_3_12b_it,EBM-NLP,11829043,5,0.01785825490951538,0.013723631699879965,0.04107265472412108,0.04781631628672282,0
gemma_3_12b_it,EBM-NLP,11891832,5,0.012859002749125164,0.010377724965413412,0.024176621437072752,0.024874746799468994,0
gemma_3_12b_it,EBM-NLP,12139812,5,0.01935568650563558,0.022980292638142902,0.041858208179473874,0.04630547761917114,0
gemma_3_12b_it,EBM-NLP,12477021,5,0.0207984725634257,0.020848711331685383,0.03444040218989054,0.03673746188481649,0
gemma_3_12b_it,EBM-NLP,12576806,5,0.0378689448038737,0.03247060378392538,0.06681588490804037,0.0690081516901652,0
gemma_3_12b_it,EBM-NLP,12586799,5,0.01257875363032023,0.013904710610707601,0.021795825163523356,0.021858473618825276,0
gemma_3_12b_it,EBM-NLP,12595499,5,0.025582651297251385,0.024156490961710613,0.04299822251001994,0.044178128242492676,0
gemma_3_12b_it,EBM-NLP,12709693,5,0.021808540821075438,0.023743311564127605,0.02636533180872599,0.026911914348602295,0
gemma_3_12b_it,EBM-NLP,1286547,5,0.008946565786997478,0.006521562735239665,0.017253470420837403,0.01785812775293986,0
gemma_3_12b_it,EBM-NLP,12960652,5,0.015226161479949952,0.010646224021911621,0.032450918356577554,0.03272465864817301,0
gemma_3_12b_it,EBM-NLP,1459268,5,0.017445755004882813,0.016772925853729248,0.03208144108454387,0.033920069535573326,0
gemma_3_12b_it,EBM-NLP,14679127,5,0.1416200359662374,0.0031162301699320474,0.35249197483062744,0.35249197483062744,0
gemma_3_12b_it,EBM-NLP,14739125,5,0.01209324598312378,0.0014979839324951172,0.042124609152475984,0.05055161317189535,0
gemma_3_12b_it,EBM-NLP,14763035,5,0.027333398660024006,0.026578962802886963,0.03301448424657186,0.034229556719462075,0
gemma_3_12b_it,EBM-NLP,15014018,5,0.011761697133382161,0.010528186957041422,0.0205809752146403,0.021296024322509766,0
gemma_3_12b_it,EBM-NLP,15133359,5,0.002956823507944743,5.960464477539063e-08,0.011827210585276283,0.014783998330434164,0
gemma_3_12b_it,EBM-NLP,15193668,5,0.02925458351771037,0.022047817707061768,0.05138161579767862,0.05795001983642578,0
gemma_3_12b_it,EBM-NLP,15358868,5,0.012416688601175943,0.012971043586730957,0.023013015588124592,0.023938616116841633,0
gemma_3_12b_it,EBM-NLP,15848261,5,0.013095017274220785,0.0106201171875,0.021817978223164874,0.02384825547536214,0
gemma_3_12b_it,EBM-NLP,15854186,5,0.033868340651194255,0.027060270309448242,0.057700709501902266,0.05776079495747884,0
gemma_3_12b_it,EBM-NLP,15858959,5,0.05040733814239502,0.058604260285695396,0.07474366029103596,0.0765190323193868,0
gemma_3_12b_it,EBM-NLP,16055807,5,0.15137292941411337,0.0333221952120463,0.3390130440394084,0.33956680695215863,0
