model_id,dataset,n,mean,median,std,p90,p95,max,bootstrap_ci_low,bootstrap_ci_high
gemma_3_12b_it,EBM-NLP,955,0.03788725227169549,0.01530599594116211,0.12144108738969628,0.04929362932840983,0.07384220560391729,1.0,0.030355401627888436,0.04584859109673825
gemma_3_12b_it,SciER,80,0.28883376978337766,0.038703255355358124,0.36660968488577983,1.0,1.0,1.0,0.2133837305288762,0.3705955242179333
gemma_3_12b_it,SciERC,500,0.1653714152915137,0.01629863040787833,0.27100895567775,0.7142857142857143,0.8571428571428571,1.0,0.14227685090005399,0.18901297568934303
mistral_7b_instruct_v03,EBM-NLP,955,0.11081216776350197,0.03812692562739054,0.1670056623739285,0.3681393106778463,0.4111792663733162,1.0,0.10033456724975746,0.12144642800716828
mistral_7b_instruct_v03,SciER,80,0.2836117442697287,0.04527422785758972,0.4091173579133124,1.0,1.0,1.0,0.19726669564843177,0.3769197288434952
mistral_7b_instruct_v03,SciERC,500,0.25094632761819025,0.14954804522650583,0.28713911798210817,0.7142857142857143,0.8571428571428571,1.0,0.22559071667449812,0.2770320788485663
qwen3_8b,EBM-NLP,955,0.05999453648222679,0.01870143413543701,0.13146504211326587,0.1288020054499309,0.34311277468999224,1.0,0.051940605385557316,0.06866182871461954
qwen3_8b,SciER,80,0.23857498094439505,0.0,0.4164893628168937,1.0,1.0,1.0,0.15395236684940755,0.33255432037636634
qwen3_8b,SciERC,500,0.16966961766992295,0.027889179331915717,0.26145005441457697,0.7142857142857143,0.8571428571428571,1.0,0.1471173025161028,0.19314509075922623
