model_id,phase,condition,documents,json_valid_mean,json_valid_ci_low,json_valid_ci_high,schema_valid_mean,schema_valid_ci_low,schema_valid_ci_high,entity_exact_f1_mean,entity_exact_f1_ci_low,entity_exact_f1_ci_high,entity_partial_f1_mean,entity_partial_f1_ci_low,entity_partial_f1_ci_high,relation_exact_f1_mean,relation_exact_f1_ci_low,relation_exact_f1_ci_high,hallucinated_entity_rate_mean,hallucinated_entity_rate_ci_low,hallucinated_entity_rate_ci_high,truncated_at_limit_mean,truncated_at_limit_ci_low,truncated_at_limit_ci_high,prompt_tokens_mean,prompt_tokens_ci_low,prompt_tokens_ci_high,output_tokens_mean,output_tokens_ci_low,output_tokens_ci_high,seconds_per_item_in_batch_mean,seconds_per_item_in_batch_ci_low,seconds_per_item_in_batch_ci_high
gemma_3_12b_it,ablation,A2,200,1.0,1.0,1.0,0.995,0.985,1.0,0.3040533536526866,0.28201786832062103,0.3278260730241894,0.3992833190565779,0.3744339195849783,0.42368108467638865,0.4786293089628251,0.4159842443677414,0.5416291275338845,0.011656260986124729,0.006893850236047331,0.01735401278277642,1.0,1.0,1.0,1271.545,1126.9759999999999,1434.221125,870.4,825.6,921.6,44.521402205000015,39.64612617712499,49.880476994375
gemma_3_12b_it,ablation,A3,200,1.0,1.0,1.0,0.82,0.765,0.87,0.2446801102916074,0.22025841218617526,0.27168163332980844,0.34364484138762785,0.3140454919485604,0.37465998639143294,0.446573952441897,0.3794722257569271,0.5096664225270497,0.003928571428571429,0.001069940476190476,0.0077380952380952375,1.0,1.0,1.0,916.265,765.29275,1089.798375,870.4,825.6,921.6,42.776716300000004,38.026606957999995,48.261253959250006
gemma_3_12b_it,ablation,A4,200,1.0,1.0,1.0,0.86,0.81,0.905,0.21923613760485036,0.1961011130859458,0.24120225456572575,0.31455442516692156,0.2864625324776563,0.3419201184334216,0.45291224751340736,0.3893818787092298,0.5182694499449436,0.008138375737166059,0.0032051880411255408,0.014335932789208996,1.0,1.0,1.0,921.545,777.6824999999999,1091.7469999999998,870.4,825.6,921.6,42.52605627,37.672428550875,47.99606043475
gemma_3_12b_it,ablation,A5,200,1.0,1.0,1.0,0.86,0.81,0.905,0.23469720851967632,0.21307813059179775,0.25786437533741857,0.3359584625230764,0.3066611194218722,0.36426748592036207,0.45653814264616877,0.3921831911708185,0.5224414964295212,0.007637907762591557,0.0037518753224974194,0.012189807954097343,1.0,1.0,1.0,1523.025,1381.8443750000001,1693.8455,870.4,825.6,921.6,44.92604460499999,40.12405209549997,50.40333328150004
gemma_3_12b_it,ablation,A6,200,1.0,1.0,1.0,0.975,0.95,0.995,0.3050448806238331,0.2812979698147738,0.32923109339512924,0.40874045819774246,0.382405529194152,0.43272427024843796,0.47764411554859015,0.4144352552906955,0.5399690413224633,0.0189257225747316,0.01100140455422375,0.02796410273346675,1.0,1.0,1.0,1398.945,1258.09325,1558.1331249999998,870.4,819.2,921.6,44.697302720000025,39.88515292200001,50.336417142500004
gemma_3_12b_it,ablation_alias,A0,200,1.0,1.0,1.0,0.82,0.765,0.87,0.22492827409190017,0.201852411551621,0.24804566614467718,0.32065221973822733,0.29215852662762065,0.34979423131803256,0.4459031791649636,0.38251419683359605,0.5093849362462778,0.005528304879492899,0.0021561399105047524,0.00997901955643427,1.0,1.0,1.0,812.545,668.7842499999999,981.98175,870.4,825.6,921.6,42.040731339999994,37.245451719749994,47.52692375362499
gemma_3_12b_it,ablation_alias,A1,200,1.0,1.0,1.0,0.985,0.965,1.0,0.2945475506489352,0.2728752595280841,0.31565211282108646,0.4028096271763587,0.37952780677322934,0.42488409327220783,0.47936046968228313,0.41379406535604635,0.5442716287275615,0.016560470615630422,0.007299669104416234,0.029435078776736387,1.0,1.0,1.0,982.925,838.9586250000001,1143.643375,870.4,825.6,921.6,43.38165158000001,38.564296522,48.855752300125
gemma_3_12b_it,main,P1,307,1.0,1.0,1.0,0.8338762214983714,0.7915309446254072,0.8762214983713354,0.21628403282543943,0.19759420605511369,0.23602661981935993,0.349879370785275,0.32511390849300453,0.37342961782865325,0.640246094719066,0.5846364383443706,0.6909845305386509,0.012974434216026174,0.00798427545661211,0.01898967270324204,1.0,1.0,1.0,615.2410423452769,518.1105048859935,725.355944625407,834.7100977198697,805.5244299674267,868.0651465798046,38.127352641693825,34.9634069250814,41.66833682793162
gemma_3_12b_it,main,P2,307,1.0,1.0,1.0,0.8697068403908795,0.8306188925081434,0.9055374592833876,0.21585197654432772,0.19909374038091823,0.23419297820383642,0.34375439888127457,0.3212430600786735,0.3657146183088132,0.6423557316405389,0.5914754387277424,0.6935702804618777,0.009910744956748247,0.00561297811957743,0.014472033837841347,1.0,1.0,1.0,665.2410423452769,569.6808631921824,779.4186482084688,834.7100977198697,805.5244299674267,868.0651465798046,38.173476957654756,34.92841863607496,41.75554943574922
gemma_3_12b_it,main,P3,307,1.0,1.0,1.0,0.8762214983713354,0.8371335504885994,0.9120521172638436,0.22340723711257768,0.20579427819944632,0.24133830149129606,0.3514391102236129,0.3277791366144575,0.37309166644448766,0.6390248724201717,0.5832495872695015,0.6930309397755189,0.0059669667677024,0.003162995942435823,0.009260946543160283,1.0,1.0,1.0,724.2410423452769,623.2143322475571,839.7230456026058,834.7100977198697,805.5244299674267,868.0651465798046,38.23270449837136,35.05588690415309,41.8155284693811
gemma_3_12b_it,main,P4,307,1.0,1.0,1.0,0.990228013029316,0.9771986970684039,1.0,0.26228669612957445,0.24523719114118075,0.27951805009887587,0.40444026604732275,0.387748546135111,0.4235333556118954,0.6608211528874809,0.6113185867678236,0.7140928318676723,0.01485882746371571,0.008109605431781599,0.023650752285661398,1.0,1.0,1.0,854.0586319218241,755.3158794788274,965.50667752443,834.7100977198697,805.5244299674267,868.0651465798046,39.28955535830617,36.19968940195438,42.78920999226382
