job_id,model_id,dataset,split,record_id,phase,condition,physical_or_alias,json_valid,schema_valid,entity_exact_precision,entity_exact_recall,entity_exact_f1,entity_partial_precision,entity_partial_recall,entity_partial_f1,relation_exact_precision,relation_exact_recall,relation_exact_f1,predicted_entities,gold_entities,predicted_relations,gold_relations,unsupported_entities,hallucinated_entity_rate,truncated_at_limit,prompt_tokens,output_tokens,seconds_per_item_in_batch
0082c5a05ea099d2c9c0e484,gemma_3_12b_it,EBM-NLP,test,18229990,ablation,A5,physical,1,1,0.4166666666666667,0.23809523809523808,0.30303030303030304,0.9166666666666666,0.5238095238095238,0.6666666666666667,1.0,1.0,1.0,12,21,0,0,0,0.0,1,806,768,33.250617
009334bd4ed3556b9655651d,qwen3_8b,EBM-NLP,test,23114870,ablation,A2,physical,1,1,0.3333333333333333,0.03333333333333333,0.0606060606060606,0.6666666666666666,0.06666666666666667,0.1212121212121212,1.0,1.0,1.0,3,30,0,0,0,0.0,0,866,46,0.992733
00965ad8ca1b8bdbfb26df86,mistral_7b_instruct_v03,EBM-NLP,test,11381289,main,P2,physical,1,1,0.1,0.125,0.11111111111111112,0.2,0.25,0.22222222222222224,1.0,1.0,1.0,10,8,0,0,0,0.0,0,342,286,49.735871
00990ed4fdaf864911394ae9,gemma_3_12b_it,SciERC,test,P08-1105,main,P6,physical,1,1,0.5714285714285714,0.47058823529411764,0.5161290322580646,0.5714285714285714,0.47058823529411764,0.5161290322580646,0.0,0.0,0.0,14,17,6,8,0,0.0,1,1490,768,35.693268
009c7418bde32f1d2e9bf95d,gemma_3_12b_it,EBM-NLP,test,7707420,main,P6,physical,1,1,0.3,0.10714285714285714,0.15789473684210525,0.6,0.21428571428571427,0.3157894736842105,1.0,1.0,1.0,10,28,0,0,0,0.0,1,1078,768,35.439236
00b28549147f0ba9cf3d9b48,mistral_7b_instruct_v03,EBM-NLP,test,1459268,main,P6,physical,1,1,0.0,0.0,0.0,0.5,0.07692307692307693,0.13333333333333336,1.0,1.0,1.0,2,13,0,0,0,0.0,0,962,92,16.419368
00b9fda6ca006eb91950d88e,qwen3_8b,EBM-NLP,test,19301724,main,P3,physical,1,1,0.25,0.13333333333333333,0.1739130434782609,0.3125,0.16666666666666666,0.21739130434782608,1.0,1.0,1.0,16,30,0,0,0,0.0,1,637,768,17.277689
00bc91373d1854c4427346bc,mistral_7b_instruct_v03,EBM-NLP,test,1286547,main,P2,physical,1,1,0.0,0.0,0.0,0.7142857142857143,0.23809523809523808,0.35714285714285715,1.0,1.0,1.0,7,21,0,0,2,0.2857142857142857,0,546,262,46.454114
00bd200752c3c8d95d6b830f,qwen3_8b,EBM-NLP,test,8913901,main,P3,physical,1,1,0.14285714285714285,0.1111111111111111,0.125,0.5714285714285714,0.4444444444444444,0.5,1.0,1.0,1.0,7,9,0,0,0,0.0,0,613,200,3.831122
00cb012884b45a247cd39266,gemma_3_12b_it,SciERC,test,P03-1070,main,P5,physical,1,1,0.75,0.75,0.75,0.9375,0.9375,0.9375,0.42857142857142855,0.3,0.3529411764705882,16,16,7,10,0,0.0,1,1302,768,34.586121
00da5369ae8d1108f70bafb6,qwen3_8b,EBM-NLP,test,18773733,main,P1,physical,1,1,0.5714285714285714,0.25,0.34782608695652173,0.7142857142857143,0.3125,0.43478260869565216,1.0,1.0,1.0,7,16,0,0,0,0.0,0,331,631,12.254802
00e417d8d89ab715e5c85371,qwen3_8b,EBM-NLP,test,22271197,main,P5,physical,1,1,0.6666666666666666,0.15384615384615385,0.25,0.6666666666666666,0.15384615384615385,0.25,1.0,1.0,1.0,3,13,0,0,0,0.0,0,597,129,2.781545
00eead2da2571842e2680dff,mistral_7b_instruct_v03,EBM-NLP,test,4919024,ablation,A4,physical,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3,7,0,0,0,0.0,0,513,109,19.995972
00ef29813e2a2311f1251617,gemma_3_12b_it,EBM-NLP,test,19727232,main,P5,physical,1,1,0.375,0.2727272727272727,0.3157894736842105,0.4375,0.3181818181818182,0.3684210526315789,1.0,1.0,1.0,16,22,0,0,0,0.0,1,782,768,31.175421
00f14f4e7df488eacb2183e2,gemma_3_12b_it,EBM-NLP,test,16055807,main,P4,physical,1,1,0.2,0.15384615384615385,0.17391304347826086,0.2,0.15384615384615385,0.17391304347826086,1.0,1.0,1.0,10,13,0,0,0,0.0,1,521,768,32.836105
00fa492f23b2b1d295a85871,mistral_7b_instruct_v03,SciER,test,244256,main,P2,physical,1,1,0.6,0.03296703296703297,0.0625,0.8,0.04395604395604396,0.08333333333333336,0.1,0.011627906976744186,0.020833333333333332,10,182,10,86,4,0.4,0,3027,652,112.475636
00fe8f33f0ecf2e0de90f4a9,mistral_7b_instruct_v03,EBM-NLP,test,21924760,main,P1,physical,1,1,0.18181818181818182,0.09090909090909091,0.12121212121212123,0.45454545454545453,0.22727272727272727,0.30303030303030304,1.0,1.0,1.0,11,22,0,0,2,0.18181818181818182,0,565,374,66.565124
01074915f4322315e737bb0f,gemma_3_12b_it,SciERC,test,J05-4003,main,P5,physical,1,1,0.3333333333333333,0.2857142857142857,0.30769230769230765,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.16666666666666666,0.1111111111111111,0.13333333333333333,12,14,6,9,2,0.16666666666666666,1,1358,768,34.543099
0110bc3d55a9f2b5e9268695,mistral_7b_instruct_v03,EBM-NLP,test,21982657,main,P6,physical,1,1,0.0,0.0,0.0,1.0,0.08,0.14814814814814814,1.0,1.0,1.0,2,25,0,0,0,0.0,0,1208,59,10.133688
0113db7ea84bc6b1bbba95d4,qwen3_8b,SciERC,test,ECCV_2016_110_abs,ablation,A2,physical,1,1,0.42857142857142855,0.3333333333333333,0.375,0.42857142857142855,0.3333333333333333,0.375,0.5,0.3333333333333333,0.4,7,9,4,6,0,0.0,0,1096,161,3.714567
01141cc24797ee32bc1d16d6,qwen3_8b,EBM-NLP,test,11829043,main,P3,physical,1,1,0.25,0.07142857142857142,0.11111111111111112,1.0,0.2857142857142857,0.4444444444444445,1.0,1.0,1.0,4,14,0,0,0,0.0,0,520,542,10.070292
013481f2a2baa75ed9091be9,mistral_7b_instruct_v03,EBM-NLP,test,2803397,main,P6,physical,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,23,0,0,1,0.5,0,1244,47,8.254737
013d6b2e79f2714807f28289,mistral_7b_instruct_v03,SciERC,test,NIPS_2015_18_abs,ablation,A6,physical,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,18,0,10,0,0.0,1,1606,768,136.947062
0169a4685af4e429d52613f9,qwen3_8b,EBM-NLP,test,3081600,main,P4,physical,1,1,0.3125,0.19230769230769232,0.2380952380952381,0.375,0.23076923076923078,0.2857142857142857,1.0,1.0,1.0,16,26,0,0,0,0.0,0,476,291,5.805061
016c22f2d578a72f6dd91d7a,gemma_3_12b_it,EBM-NLP,test,14763035,main,P2,physical,1,1,0.625,0.37037037037037035,0.4651162790697674,0.8125,0.48148148148148145,0.6046511627906976,1.0,1.0,1.0,16,27,0,0,0,0.0,1,543,768,32.495817
01774df847c9de08fee3ccee,mistral_7b_instruct_v03,SciERC,test,P05-1056,ablation,A4,physical,1,1,0.3333333333333333,0.20833333333333334,0.25641025641025644,0.4,0.25,0.3076923076923077,0.0,0.0,0.0,15,24,7,19,0,0.0,0,678,734,131.447246
0189fdc5170eea3853b1b8ef,mistral_7b_instruct_v03,SciERC,test,NIPS_2002_18_abs,main,P5,physical,1,1,0.1,0.07692307692307693,0.08695652173913043,0.3,0.23076923076923078,0.2608695652173913,0.0,0.0,0.0,10,13,8,6,0,0.0,0,1522,415,72.678544
019321652d159318451aca4f,mistral_7b_instruct_v03,EBM-NLP,test,20618920,main,P1,physical,1,1,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333,0.1111111111111111,0.16666666666666666,1.0,1.0,1.0,3,9,0,0,1,0.3333333333333333,0,358,127,22.569027
0193656a47079079f7283e4c,gemma_3_12b_it,SciERC,test,CVPR_2009_10_abs,main,P3,physical,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,27,0,20,0,0.0,1,532,768,34.105209
0196b3d46a906b1905834153,mistral_7b_instruct_v03,EBM-NLP,test,11099086,main,P4,physical,1,1,0.0,0.0,0.0,1.0,0.10344827586206896,0.1875,1.0,1.0,1.0,3,29,0,0,0,0.0,0,1083,68,11.712207
01986cf4d429edeb8ec45449,qwen3_8b,EBM-NLP,test,3919804,main,P2,physical,1,1,0.15384615384615385,0.11764705882352941,0.13333333333333333,0.7692307692307693,0.5882352941176471,0.6666666666666667,1.0,1.0,1.0,13,17,0,0,0,0.0,0,394,652,13.37446
019db19c996ca801f3d9d1ba,mistral_7b_instruct_v03,SciER,test_ood,CVPR2023,main,P5,physical,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,403,0,208,0,0.0,1,6439,2048,358.837484
019e9c173bbd007c2dd6df9d,gemma_3_12b_it,SciERC,test,H01-1042,main,P1,physical,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17,0,9,0,0.0,1,456,768,31.814892
01a1d41f467516e09dc02ebf,mistral_7b_instruct_v03,EBM-NLP,test,19376304,ablation,A6,physical,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,13,0,0,0,0.0,1,956,768,130.139701
01aa1cd04697b9ffbb2ca846,gemma_3_12b_it,SciERC,test,ICCV_2003_161_abs,main,P5,physical,1,1,0.3333333333333333,0.3,0.3157894736842105,0.3888888888888889,0.35,0.36842105263157887,0.09090909090909091,0.1,0.09523809523809525,18,20,11,10,0,0.0,1,1349,768,33.716554
01b087c204379a0acba48dfa,mistral_7b_instruct_v03,EBM-NLP,test,3081600,main,P3,physical,1,1,0.3333333333333333,0.15384615384615385,0.21052631578947367,0.4166666666666667,0.19230769230769232,0.2631578947368421,1.0,1.0,1.0,12,26,0,0,0,0.0,0,494,341,61.69733
01bf1151fda993cf89d3037a,gemma_3_12b_it,SciERC,test,INTERSPEECH_2014_40_abs,main,P2,physical,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,12,0,0.0,1,416,768,32.622163
01c3622db1aee9ed7f3c7328,qwen3_8b,SciERC,test,C86-1081,main,P5,physical,1,1,0.16666666666666666,0.2,0.1818181818181818,0.3333333333333333,0.4,0.3636363636363636,0.0,0.0,0.0,6,5,2,2,0,0.0,0,1251,116,2.516722
01cbaf66bf9bde09a21b8a39,gemma_3_12b_it,EBM-NLP,test,25886492,main,P1,physical,1,1,0.10526315789473684,0.08333333333333333,0.0930232558139535,0.3684210526315789,0.2916666666666667,0.32558139534883723,1.0,1.0,1.0,19,24,0,0,0,0.0,1,758,768,31.483221
01d1e64f8b47b7d0cbc1333d,qwen3_8b,SciERC,test,E89-1016,main,P6,physical,1,1,0.42857142857142855,0.3157894736842105,0.36363636363636365,0.6428571428571429,0.47368421052631576,0.5454545454545454,0.25,0.25,0.25,14,19,8,8,0,0.0,0,1464,400,9.187839
01de21b1d8cbe52aabef8df0,mistral_7b_instruct_v03,EBM-NLP,test,15358868,main,P2,physical,1,1,0.2857142857142857,0.15384615384615385,0.2,0.5714285714285714,0.3076923076923077,0.4,1.0,1.0,1.0,7,13,0,0,2,0.2857142857142857,0,350,212,36.869958
01e1b469bf90db5d6e00b507,mistral_7b_instruct_v03,EBM-NLP,test,7707420,main,P6,physical,1,1,0.5,0.03571428571428571,0.06666666666666667,0.5,0.03571428571428571,0.06666666666666667,1.0,1.0,1.0,2,28,0,0,0,0.0,0,1223,49,8.533095
01e7cb688192a81232449058,gemma_3_12b_it,EBM-NLP,test,10764172,main,P3,physical,1,1,0.21739130434782608,0.23809523809523808,0.22727272727272724,0.391304347826087,0.42857142857142855,0.4090909090909091,1.0,1.0,1.0,23,21,0,0,1,0.043478260869565216,1,555,768,30.093843
01ec21810c23a81fc799e13d,gemma_3_12b_it,EBM-NLP,test,20618920,main,P4,physical,1,1,0.25,0.2222222222222222,0.23529411764705882,0.625,0.5555555555555556,0.5882352941176471,1.0,1.0,1.0,8,9,0,0,0,0.0,1,470,768,29.860285
01f61d349176b2fc627783c4,mistral_7b_instruct_v03,SciERC,test,E89-1016,ablation,A2,physical,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19,0,8,0,0.0,0,1385,258,46.714772
0202344127f4c9a3b61d5246,qwen3_8b,SciERC,test,CVPR_2006_10_abs,ablation,A4,physical,1,1,0.25,0.2727272727272727,0.2608695652173913,0.5,0.5454545454545454,0.5217391304347826,0.0,0.0,0.0,12,11,9,4,2,0.16666666666666666,0,563,515,10.107056
0203b0d2cc8f5012512c9aa5,gemma_3_12b_it,EBM-NLP,test,361799,main,P6,physical,1,1,0.4166666666666667,0.3125,0.35714285714285715,0.6666666666666666,0.5,0.5714285714285715,1.0,1.0,1.0,12,16,0,0,0,0.0,1,897,768,33.749108
0217b88e860ecc663adedb0a,gemma_3_12b_it,EBM-NLP,test,16295154,main,P5,physical,1,1,0.25,0.2,0.22222222222222224,0.6666666666666666,0.5333333333333333,0.5925925925925926,1.0,1.0,1.0,12,15,0,0,1,0.08333333333333333,1,766,768,33.340212
