model_id,dataset,phase,condition,documents,json_valid_mean,json_valid_ci_low,json_valid_ci_high,schema_valid_mean,schema_valid_ci_low,schema_valid_ci_high,entity_exact_f1_mean,entity_exact_f1_ci_low,entity_exact_f1_ci_high,entity_partial_f1_mean,entity_partial_f1_ci_low,entity_partial_f1_ci_high,relation_exact_f1_mean,relation_exact_f1_ci_low,relation_exact_f1_ci_high,hallucinated_entity_rate_mean,hallucinated_entity_rate_ci_low,hallucinated_entity_rate_ci_high,truncated_at_limit_mean,truncated_at_limit_ci_low,truncated_at_limit_ci_high,prompt_tokens_mean,prompt_tokens_ci_low,prompt_tokens_ci_high,output_tokens_mean,output_tokens_ci_low,output_tokens_ci_high,seconds_per_item_in_batch_mean,seconds_per_item_in_batch_ci_low,seconds_per_item_in_batch_ci_high
gemma_3_12b_it,EBM-NLP,main,P4,191,1.0,1.0,1.0,1.0,1.0,1.0,0.2219250163804741,0.2043635097519495,0.24014105403781033,0.41971330437627796,0.3985595836908585,0.4397457375948143,1.0,1.0,1.0,0.00873750865889358,0.004483893466299291,0.013997280692534815,1.0,1.0,1.0,613.0471204188482,594.255890052356,631.7391361256545,768.0,768.0,768.0,31.86687190575916,31.638155209816766,32.098956040445024
gemma_3_12b_it,EBM-NLP,main,P5,191,1.0,1.0,1.0,1.0,1.0,1.0,0.21389716010301435,0.19712405033732772,0.23195615591286856,0.4131950856892444,0.391595540621073,0.4360129564802283,1.0,1.0,1.0,0.007609405760735733,0.0037698954616291265,0.012226386838235024,1.0,1.0,1.0,790.0471204188482,769.7895287958116,809.0997382198952,768.0,768.0,768.0,32.87164949214662,32.66148516675395,33.08381929908378
gemma_3_12b_it,EBM-NLP,main,P6,191,1.0,1.0,1.0,0.9947643979057592,0.9842931937172775,1.0,0.2050780951484412,0.18759468354802566,0.2238955343999791,0.3862482001147068,0.36505759088474726,0.4074974956385707,1.0,1.0,1.0,0.007413898824391099,0.003310349137149787,0.012238699639529147,1.0,1.0,1.0,954.0471204188482,935.2455497382199,973.4505235602094,768.0,768.0,768.0,33.610495015706796,33.42285152408377,33.8082598640052
gemma_3_12b_it,SciER,ablation,A2,16,1.0,1.0,1.0,0.9375,0.8125,1.0,0.13415264899954168,0.10311898719242242,0.16609777534694764,0.15343212465720746,0.11888711822057724,0.1900239995745915,0.05414211177673046,0.03784330224839977,0.07172977591500743,0.1043857574696673,0.06463971930454201,0.14269522425712894,1.0,1.0,1.0,4504.5,3647.4296875,5530.203124999999,2048.0,2048.0,2048.0,168.8260264375,166.1828372765625,171.71446420312503
gemma_3_12b_it,SciER,ablation,A3,16,1.0,1.0,1.0,0.5,0.25,0.75,0.06012232222586512,0.02904542201568552,0.09259767420080467,0.07052591321205684,0.03404020777993301,0.110497688477397,0.046994379760288287,0.030743014564810767,0.06496668296125582,0.017857142857142856,0.0,0.05357142857142857,1.0,1.0,1.0,4396.5,3519.859375,5364.7703125,2048.0,2048.0,2048.0,168.86633531249998,166.249498975,171.83942139374997
gemma_3_12b_it,SciER,ablation,A4,16,1.0,1.0,1.0,0.8125,0.625,1.0,0.10442602233191325,0.0699553527105497,0.14168460637658714,0.12383557541102365,0.0853416192185422,0.16388939159624405,0.03853945261455612,0.021070523572148087,0.0588954179194153,0.05387052463665368,0.004032258064516129,0.11437904333569641,1.0,1.0,1.0,4389.5,3507.3562500000003,5385.1468749999985,2048.0,2048.0,2048.0,168.6973324375,166.16618479062504,171.6241938515625
gemma_3_12b_it,SciER,ablation,A5,16,1.0,1.0,1.0,0.5,0.25,0.75,0.05490983654004693,0.025087964223321307,0.09330550562221177,0.06509683410363681,0.028581752493823658,0.11048972002537803,0.056752132183339965,0.03838655609195414,0.07604236352156518,0.03442804164883754,0.0,0.0720742404792469,1.0,1.0,1.0,4750.5,3904.415625,5758.503124999999,2048.0,2048.0,2048.0,169.45866137500002,167.0797940296875,172.3241257328125
gemma_3_12b_it,SciER,ablation,A6,16,1.0,1.0,1.0,0.9375,0.8125,1.0,0.14107685482883547,0.11027050272153355,0.1693238443514964,0.16135007675085258,0.1298314240108059,0.19082047706975028,0.05742361961732878,0.03921163468877922,0.07673692552582344,0.1795680613635583,0.1210344056269766,0.23214884267528227,1.0,1.0,1.0,4641.5,3840.6625,5614.215625,2048.0,2048.0,2048.0,168.90428018749998,166.53056947187503,171.74209122187497
gemma_3_12b_it,SciER,ablation_alias,A0,16,1.0,1.0,1.0,0.5625,0.3125,0.8125,0.06141167418549281,0.03425982024874896,0.08856807828764493,0.07468175653038935,0.04233107563068193,0.11003679687128434,0.04525334596095356,0.02808765798718428,0.06424064270959746,0.03310587262200165,0.0,0.07884615384615384,1.0,1.0,1.0,4280.5,3409.1515624999997,5235.390624999999,2048.0,2048.0,2048.0,167.5074306875,165.3823072484375,170.18139742499997
gemma_3_12b_it,SciER,ablation_alias,A1,16,1.0,1.0,1.0,0.8125,0.625,1.0,0.12271004695862449,0.08317870127670578,0.16245404445325462,0.13698835417234811,0.09416131001987985,0.1774101456467827,0.0329881198029085,0.017343469481364,0.050504702500408304,0.14819505388312126,0.05440214346422019,0.2875172042156603,1.0,1.0,1.0,4345.5,3497.8999999999996,5352.496874999999,2048.0,2048.0,2048.0,168.55596131250002,166.06556943437502,171.657835040625
